order,target,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
273,273,25-02-27 1637,UNIT_YARD_MOVE,LOAD,EXPRT,CRSU1326512,Y-TSCT-2B6311.2,2B6311.2,Y-TSCT-Q02,2BA63,R323,T-BJAPV827-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,6840,V-AILK_009-571880,2B,63,11,2,V-AILK_009,57,18,80,9
274,274,25-02-27 1640,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1343874,Y-TSCT-2B6311.1,2B6311.1,Y-TSCT-Q02,2BA63,R323,T-TJC67829-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,6547,V-AILK_009-591880,2B,63,11,1,V-AILK_009,59,18,80,9
275,275,25-02-27 1641,UNIT_YARD_MOVE,LOAD,EXPRT,FBIU0187728,Y-TSCT-2B6301.2,2B6301.2,Y-TSCT-Q02,2BA63,R323,T-BJAPV827-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,6655,V-AILK_009-572080,2B,63,1,2,V-AILK_009,57,20,80,9
276,276,25-02-27 1644,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5515927,Y-TSCT-2B6301.1,2B6301.1,Y-TSCT-Q02,2BA63,R323,T-TJCB9988-1 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,4231,V-AILK_009-592080,2B,63,1,1,V-AILK_009,59,20,80,9
277,277,25-02-27 2325,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3711930,Y-TSCT-2B6306.4,2B6306.4,Y-TSCT-Q01,2BA63,R323,T-TJCC2205-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,29783,V-AILK_009-870710,2B,63,6,4,V-AILK_009,87,7,10,9
278,278,25-02-27 2332,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU1131137,Y-TSCT-2B6307.3,2B6307.3,Y-TSCT-Q01,2BA63,R323,T-BJANH038-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,24580,V-AILK_009-850310,2B,63,7,3,V-AILK_009,85,3,10,9
279,279,25-02-27 2333,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3713336,Y-TSCT-2B6306.3,2B6306.3,Y-TSCT-Q01,2BA63,R323,T-TJCJ2550-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,27200,V-AILK_009-870310,2B,63,6,3,V-AILK_009,87,3,10,9
280,280,25-02-27 2337,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU1210998,Y-TSCT-2B6307.2,2B6307.2,Y-TSCT-Q01,2BA63,R323,T-TJCC1095-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,24580,V-AILK_009-850010,2B,63,7,2,V-AILK_009,85,0,10,9
281,281,25-02-27 2339,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3687366,Y-TSCT-2B6306.2,2B6306.2,Y-TSCT-Q01,2BA63,R323,T-TJCJ2317-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,29783,V-AILK_009-870010,2B,63,6,2,V-AILK_009,87,0,10,9
282,282,25-02-27 2347,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU1270092,Y-TSCT-2B6307.1,2B6307.1,Y-TSCT-Q01,2BA63,R323,T-TJCK6067-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,27464,V-AILK_009-850512,2B,63,7,1,V-AILK_009,85,5,12,9
283,283,25-02-27 2349,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3687324,Y-TSCT-2B6306.1,2B6306.1,Y-TSCT-Q01,2BA63,R323,T-TJC85290-2 (TQ),AILK_009,ESBCN,CNTSN,NOM86,NOM20,22G1,29226,V-AILK_009-870512,2B,63,6,1,V-AILK_009,87,5,12,9
284,284,25-02-27 1703,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU2342065,Y-TSCT-2B6510.4,2B6510.4,Y-TSCT-Q01,2BA65,R323,T-TJCK2092-1 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,28626,V-AILK_009-711906,2B,65,10,4,V-AILK_009,71,19,6,13
285,285,25-02-27 1710,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6582386,Y-TSCT-2B6508.5,2B6508.5,Y-TSCT-Q01,2BA65,R323,T-TJCK2073-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27082,V-AILK_009-691906,2B,65,8,5,V-AILK_009,69,19,6,13
286,286,25-02-27 1712,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5642644,Y-TSCT-2B6502.1,2B6502.1,Y-TSCT-Q01,2BA65,R323,T-TJC93198-1 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27234,V-AILK_009-691504,2B,65,2,1,V-AILK_009,69,15,4,13
287,287,25-02-27 1714,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU3656952,Y-TSCT-2B6509.5,2B6509.5,Y-TSCT-Q01,2BA65,R323,T-TJCA3653-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,28378,V-AILK_009-711504,2B,65,9,5,V-AILK_009,71,15,4,13
288,288,25-02-27 1716,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU0152947,Y-TSCT-2B6509.4,2B6509.4,Y-TSCT-Q01,2BA65,R323,T-TJC93690-1 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27586,V-AILK_009-691506,2B,65,9,4,V-AILK_009,69,15,6,13
289,289,25-02-27 1717,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2048870,Y-TSCT-2B6508.4,2B6508.4,Y-TSCT-Q01,2BA65,R323,T-TJC75619-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27313,V-AILK_009-711506,2B,65,8,4,V-AILK_009,71,15,6,13
290,290,25-02-27 1739,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU2535431,Y-TSCT-2B6510.3,2B6510.3,Y-TSCT-Q01,2BA65,R323,T-TJCK2700-1 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,28570,V-AILK_009-691908,2B,65,10,3,V-AILK_009,69,19,8,13
291,291,25-02-27 1741,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2368579,Y-TSCT-2B6509.3,2B6509.3,Y-TSCT-Q01,2BA65,R323,T-TJC91120-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27058,V-AILK_009-711908,2B,65,9,3,V-AILK_009,71,19,8,13
292,292,25-02-27 1746,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2620525,Y-TSCT-2B6508.3,2B6508.3,Y-TSCT-Q01,2BA65,R323,T-TJC21863-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27788,V-AILK_009-691508,2B,65,8,3,V-AILK_009,69,15,8,13
293,293,25-02-27 1748,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU4305498,Y-TSCT-2B6510.2,2B6510.2,Y-TSCT-Q01,2BA65,R323,T-TJCK2582-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27270,V-AILK_009-711508,2B,65,10,2,V-AILK_009,71,15,8,13
294,294,25-02-27 1759,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3452086,Y-TSCT-2B6509.2,2B6509.2,Y-TSCT-Q01,2BA65,R323,T-TJC35013-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,26700,V-AILK_009-691910,2B,65,9,2,V-AILK_009,69,19,10,13
295,295,25-02-27 1801,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6998326,Y-TSCT-2B6508.2,2B6508.2,Y-TSCT-Q01,2BA65,R323,T-TJCD1733-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,27390,V-AILK_009-711910,2B,65,8,2,V-AILK_009,71,19,10,13
296,296,25-02-27 1804,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5199562,Y-TSCT-2B6510.1,2B6510.1,Y-TSCT-Q01,2BA65,R323,T-TJCA8290-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,28920,V-AILK_009-691510,2B,65,10,1,V-AILK_009,69,15,10,13
297,297,25-02-27 1807,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1903921,Y-TSCT-2B6508.1,2B6508.1,Y-TSCT-Q01,2BA65,R323,T-TJCD7296-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,29611,V-AILK_009-711510,2B,65,8,1,V-AILK_009,71,15,10,13
298,298,25-02-27 1830,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU3826987,Y-TSCT-2B6509.1,2B6509.1,Y-TSCT-Q01,2BA65,R323,T-TJCK2582-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,26068,V-AILK_009-691912,2B,65,9,1,V-AILK_009,69,19,12,13
299,299,25-02-27 1832,UNIT_YARD_MOVE,LOAD,EXPRT,CRSU1202790,Y-TSCT-2B6507.5,2B6507.5,Y-TSCT-Q01,2BA65,R323,T-TJCK2002-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,21559,V-AILK_009-711912,2B,65,7,5,V-AILK_009,71,19,12,13
300,300,25-02-27 1845,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU2286250,Y-TSCT-2B6507.4,2B6507.4,Y-TSCT-Q01,2BA65,R323,T-HBFP0471-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,22720,V-AILK_009-691512,2B,65,7,4,V-AILK_009,69,15,12,13
301,301,25-02-27 1847,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU2609271,Y-TSCT-2B6507.3,2B6507.3,Y-TSCT-Q01,2BA65,R323,T-HBFN6677-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,22700,V-AILK_009-711512,2B,65,7,3,V-AILK_009,71,15,12,13
302,302,25-02-27 1853,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6748414,Y-TSCT-2B6505.5,2B6505.5,Y-TSCT-Q05,2BA65,R323,T-TJCB6105-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,30431,V-AILK_009-251202,2B,65,5,5,V-AILK_009,25,12,2,13
303,303,25-02-27 1856,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1441525,Y-TSCT-2B6505.4,2B6505.4,Y-TSCT-Q05,2BA65,R323,T-TJC16382-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,30220,V-AILK_009-271202,2B,65,5,4,V-AILK_009,27,12,2,13
304,304,25-02-27 1859,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU1673971,Y-TSCT-2B6507.2,2B6507.2,Y-TSCT-Q01,2BA65,R323,T-TJC58563-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,19543,V-AILK_009-691914,2B,65,7,2,V-AILK_009,69,19,14,13
305,305,25-02-27 1901,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6014072,Y-TSCT-2B6507.1,2B6507.1,Y-TSCT-Q01,2BA65,R323,T-TJCK2212-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,21559,V-AILK_009-711914,2B,65,7,1,V-AILK_009,71,19,14,13
306,306,25-02-27 1907,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1786050,Y-TSCT-2B6505.3,2B6505.3,Y-TSCT-Q05,2BA65,R323,T-TJCD0715-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,29775,V-AILK_009-251204,2B,65,5,3,V-AILK_009,25,12,4,13
307,307,25-02-27 1909,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2130086,Y-TSCT-2B6505.2,2B6505.2,Y-TSCT-Q05,2BA65,R323,T-TJCH1877-1 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,29773,V-AILK_009-271204,2B,65,5,2,V-AILK_009,27,12,4,13
308,308,25-02-27 1912,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3669684,Y-TSCT-2B6504.5,2B6504.5,Y-TSCT-Q05,2BA65,R323,T-TJC81009-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,24700,V-AILK_009-251206,2B,65,4,5,V-AILK_009,25,12,6,13
309,309,25-02-27 2108,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2106748,Y-TSCT-2B6504.4,2B6504.4,Y-TSCT-Q05,2BA65,R323,T-TJC91561-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,25748,V-AILK_009-251208,2B,65,4,4,V-AILK_009,25,12,8,13
310,310,25-02-27 2110,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3687221,Y-TSCT-2B6504.3,2B6504.3,Y-TSCT-Q05,2BA65,R323,T-TJCK0577-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,26927,V-AILK_009-271208,2B,65,4,3,V-AILK_009,27,12,8,13
311,311,25-02-27 2131,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1044718,Y-TSCT-2B6505.1,2B6505.1,Y-TSCT-Q05,2BA65,R323,T-TJCK2230-1 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,29551,V-AILK_009-251210,2B,65,5,1,V-AILK_009,25,12,10,13
312,312,25-02-27 2133,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3711420,Y-TSCT-2B6504.2,2B6504.2,Y-TSCT-Q05,2BA65,R323,T-TJCK2689-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,26927,V-AILK_009-271210,2B,65,4,2,V-AILK_009,27,12,10,13
313,313,25-02-27 2140,UNIT_YARD_MOVE,LOAD,EXPRT,GATU1269652,Y-TSCT-2B6506.2,2B6506.2,Y-TSCT-Q05,2BA65,R323,T-TJCG1606-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,21930,V-AILK_009-251212,2B,65,6,2,V-AILK_009,25,12,12,13
314,314,25-02-27 2142,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3676973,Y-TSCT-2B6504.1,2B6504.1,Y-TSCT-Q05,2BA65,R323,T-TJCK0901-3 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,26062,V-AILK_009-271212,2B,65,4,1,V-AILK_009,27,12,12,13
315,315,25-02-27 2151,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU0491025,Y-TSCT-2B6506.1,2B6506.1,Y-TSCT-Q05,2BA65,R323,T-TJCE2298-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,21780,V-AILK_009-251214,2B,65,6,1,V-AILK_009,25,12,14,13
316,316,25-02-27 2153,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3678976,Y-TSCT-2B6503.1,2B6503.1,Y-TSCT-Q05,2BA65,R323,T-TJC11123-2 (TQ),AILK_009,AEJEA,CNTSN,NOM86,NOM20,22G1,15504,V-AILK_009-271214,2B,65,3,1,V-AILK_009,27,12,14,13
317,317,25-02-27 1347,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3686225,Y-TSCT-2B6710.5,2B6710.5,Y-TSCT-Q06,2BA67,R323,T-TJC98708-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170702,2B,67,10,5,V-AILK_009,17,7,2,16
318,318,25-02-27 1348,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3684650,Y-TSCT-2B6709.5,2B6709.5,Y-TSCT-Q06,2BA67,R323,T-TJCC6128-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190702,2B,67,9,5,V-AILK_009,19,7,2,16
319,319,25-02-27 1351,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688418,Y-TSCT-2B6708.5,2B6708.5,Y-TSCT-Q06,2BA67,R323,T-TJC78381-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25810,V-AILK_009-170302,2B,67,8,5,V-AILK_009,17,3,2,16
320,320,25-02-27 1353,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3686626,Y-TSCT-2B6707.5,2B6707.5,Y-TSCT-Q06,2BA67,R323,T-TJCK6816-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,28472,V-AILK_009-190302,2B,67,7,5,V-AILK_009,19,3,2,16
321,321,25-02-27 1355,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688758,Y-TSCT-2B6706.5,2B6706.5,Y-TSCT-Q06,2BA67,R323,T-TJC11123-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170002,2B,67,6,5,V-AILK_009,17,0,2,16
322,322,25-02-27 1357,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU1718750,Y-TSCT-2B6705.5,2B6705.5,Y-TSCT-Q06,2BA67,R323,T-TJCK2261-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25731,V-AILK_009-190002,2B,67,5,5,V-AILK_009,19,0,2,16
323,323,25-02-27 1511,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3684480,Y-TSCT-2B6711.4,2B6711.4,Y-TSCT-Q06,2BA67,R323,T-HBJ1A917-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170704,2B,67,11,4,V-AILK_009,17,7,4,16
324,324,25-02-27 1513,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3689498,Y-TSCT-2B6710.4,2B6710.4,Y-TSCT-Q06,2BA67,R323,T-TJC97881-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190704,2B,67,10,4,V-AILK_009,19,7,4,16
325,325,25-02-27 1517,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3683099,Y-TSCT-2B6709.4,2B6709.4,Y-TSCT-Q06,2BA67,R323,T-TJC75667-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170304,2B,67,9,4,V-AILK_009,17,3,4,16
326,326,25-02-27 1518,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3682298,Y-TSCT-2B6708.4,2B6708.4,Y-TSCT-Q06,2BA67,R323,T-TJCB5612-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25810,V-AILK_009-190304,2B,67,8,4,V-AILK_009,19,3,4,16
327,327,25-02-27 1521,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU2016763,Y-TSCT-2B6707.4,2B6707.4,Y-TSCT-Q06,2BA67,R323,T-TJCD0867-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,30240,V-AILK_009-170004,2B,67,7,4,V-AILK_009,17,0,4,16
328,328,25-02-27 1523,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3682744,Y-TSCT-2B6706.4,2B6706.4,Y-TSCT-Q06,2BA67,R323,T-TJCL7169-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190004,2B,67,6,4,V-AILK_009,19,0,4,16
329,329,25-02-27 1543,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3686288,Y-TSCT-2B6705.4,2B6705.4,Y-TSCT-Q06,2BA67,R323,T-TJC79065-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170706,2B,67,5,4,V-AILK_009,17,7,6,16
330,330,25-02-27 1545,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3682805,Y-TSCT-2B6711.3,2B6711.3,Y-TSCT-Q06,2BA67,R323,T-TJC78381-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190706,2B,67,11,3,V-AILK_009,19,7,6,16
331,331,25-02-27 1549,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3689538,Y-TSCT-2B6710.3,2B6710.3,Y-TSCT-Q06,2BA67,R323,T-TJCB5612-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170306,2B,67,10,3,V-AILK_009,17,3,6,16
332,332,25-02-27 1551,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3685804,Y-TSCT-2B6709.3,2B6709.3,Y-TSCT-Q06,2BA67,R323,T-TJC11123-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190306,2B,67,9,3,V-AILK_009,19,3,6,16
333,333,25-02-27 1556,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3674538,Y-TSCT-2B6708.3,2B6708.3,Y-TSCT-Q06,2BA67,R323,T-TJC79065-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25810,V-AILK_009-170006,2B,67,8,3,V-AILK_009,17,0,6,16
334,334,25-02-27 1558,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3677308,Y-TSCT-2B6707.3,2B6707.3,Y-TSCT-Q06,2BA67,R323,T-TJCD0715-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,30180,V-AILK_009-190006,2B,67,7,3,V-AILK_009,19,0,6,16
335,335,25-02-27 1614,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688892,Y-TSCT-2B6706.3,2B6706.3,Y-TSCT-Q06,2BA67,R323,T-TJC97006-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170708,2B,67,6,3,V-AILK_009,17,7,8,16
336,336,25-02-27 1616,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3684330,Y-TSCT-2B6705.3,2B6705.3,Y-TSCT-Q06,2BA67,R323,T-TJC92306-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190708,2B,67,5,3,V-AILK_009,19,7,8,16
337,337,25-02-27 1629,UNIT_YARD_MOVE,LOAD,EXPRT,MSCU6009681,Y-TSCT-2B6711.2,2B6711.2,Y-TSCT-Q06,2BA67,R323,T-TJC58578-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25689,V-AILK_009-170308,2B,67,11,2,V-AILK_009,17,3,8,16
338,338,25-02-27 1631,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3689420,Y-TSCT-2B6710.2,2B6710.2,Y-TSCT-Q06,2BA67,R323,T-TJCL7169-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190308,2B,67,10,2,V-AILK_009,19,3,8,16
339,339,25-02-27 1633,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2614651,Y-TSCT-2B6709.2,2B6709.2,Y-TSCT-Q06,2BA67,R323,T-TJCD1522-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25851,V-AILK_009-170008,2B,67,9,2,V-AILK_009,17,0,8,16
340,340,25-02-27 1635,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3683150,Y-TSCT-2B6708.2,2B6708.2,Y-TSCT-Q06,2BA67,R323,T-TJCL7169-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190008,2B,67,8,2,V-AILK_009,19,0,8,16
341,341,25-02-27 1649,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2771684,Y-TSCT-2B6707.2,2B6707.2,Y-TSCT-Q06,2BA67,R323,T-TJCD0717-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,30310,V-AILK_009-170710,2B,67,7,2,V-AILK_009,17,7,10,16
342,342,25-02-27 1652,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688969,Y-TSCT-2B6706.2,2B6706.2,Y-TSCT-Q06,2BA67,R323,T-TJC19336-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190710,2B,67,6,2,V-AILK_009,19,7,10,16
343,343,25-02-27 1655,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688790,Y-TSCT-2B6705.2,2B6705.2,Y-TSCT-Q06,2BA67,R323,T-HBJ1A917-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170310,2B,67,5,2,V-AILK_009,17,3,10,16
344,344,25-02-27 1657,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU3445815,Y-TSCT-2B6711.1,2B6711.1,Y-TSCT-Q06,2BA67,R323,T-TJC58975-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25868,V-AILK_009-190310,2B,67,11,1,V-AILK_009,19,3,10,16
345,345,25-02-27 1720,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688526,Y-TSCT-2B6710.1,2B6710.1,Y-TSCT-Q06,2BA67,R323,T-TJC75176-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170010,2B,67,10,1,V-AILK_009,17,0,10,16
346,346,25-02-27 1722,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2294898,Y-TSCT-2B6709.1,2B6709.1,Y-TSCT-Q06,2BA67,R323,T-TJCD1516-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25851,V-AILK_009-190010,2B,67,9,1,V-AILK_009,19,0,10,16
347,347,25-02-27 1726,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3689461,Y-TSCT-2B6708.1,2B6708.1,Y-TSCT-Q06,2BA67,R323,T-TJC92306-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170712,2B,67,8,1,V-AILK_009,17,7,12,16
348,348,25-02-27 1728,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1888977,Y-TSCT-2B6707.1,2B6707.1,Y-TSCT-Q06,2BA67,R323,T-TJCD0211-3 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,30243,V-AILK_009-190712,2B,67,7,1,V-AILK_009,19,7,12,16
349,349,25-02-27 1732,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3688697,Y-TSCT-2B6706.1,2B6706.1,Y-TSCT-Q06,2BA67,R323,T-TJC16537-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170312,2B,67,6,1,V-AILK_009,17,3,12,16
350,350,25-02-27 1734,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3685867,Y-TSCT-2B6705.1,2B6705.1,Y-TSCT-Q06,2BA67,R323,T-TJC98708-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190312,2B,67,5,1,V-AILK_009,19,3,12,16
