order,target,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
17,17,25-02-27 1557,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1791077,Y-TSCT-1A4711.2,1A4711.2,Y-TSCT-Q06,1AA47,R311,T-TJCK2095-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25728,V-AILK_009-190106,1A,47,11,2,V-AILK_009,19,1,6,18
18,18,25-02-27 1600,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2718131,Y-TSCT-1A4704.2,1A4704.2,Y-TSCT-Q06,1AA47,R311,T-TJCK2582-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25851,V-AILK_009-170206,1A,47,4,2,V-AILK_009,17,2,6,18
19,19,25-02-27 1602,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3684388,Y-TSCT-1A4703.2,1A4703.2,Y-TSCT-Q06,1AA47,R311,T-TJC75715-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-190206,1A,47,3,2,V-AILK_009,19,2,6,18
20,20,25-02-27 1605,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3683669,Y-TSCT-1A4702.2,1A4702.2,Y-TSCT-Q06,1AA47,R311,T-TJC19336-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170606,1A,47,2,2,V-AILK_009,17,6,6,18
21,21,25-02-27 1607,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3052946,Y-TSCT-1A4704.1,1A4704.1,Y-TSCT-Q06,1AA47,R311,T-TJCH1001-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25831,V-AILK_009-190606,1A,47,4,1,V-AILK_009,19,6,6,18
22,22,25-02-27 1617,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5460473,Y-TSCT-1A4710.2,1A4710.2,Y-TSCT-Q06,1AA47,R311,T-TJCA7580-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25828,V-AILK_009-170508,1A,47,10,2,V-AILK_009,17,5,8,18
23,23,25-02-27 1619,UNIT_YARD_MOVE,LOAD,EXPRT,GLDU5177324,Y-TSCT-1A4709.2,1A4709.2,Y-TSCT-Q06,1AA47,R311,T-TJCH1782-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,29730,V-AILK_009-190508,1A,47,9,2,V-AILK_009,19,5,8,18
24,24,25-02-27 1632,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU5306779,Y-TSCT-1A4708.2,1A4708.2,Y-TSCT-Q06,1AA47,R311,T-TJCA7580-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25848,V-AILK_009-170108,1A,47,8,2,V-AILK_009,17,1,8,18
25,25,25-02-27 1634,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6187930,Y-TSCT-1A4711.1,1A4711.1,Y-TSCT-Q06,1AA47,R311,T-TJCK2700-1 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25908,V-AILK_009-190108,1A,47,11,1,V-AILK_009,19,1,8,18
26,26,25-02-27 1637,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3686246,Y-TSCT-1A4703.1,1A4703.1,Y-TSCT-Q06,1AA47,R311,T-TJCC6128-2 (TQ),AILK_009,IQUQ2,CNTSN,NOM86,NOM20,22G1,25805,V-AILK_009-170408,1A,47,3,1,V-AILK_009,17,4,8,18
